model,dataset,u,r,rho,p,q,n,sig,scope
GPT,HOPE,U1,QOC,-0.038536719314840984,0.46668057064381296,0.5072614898302314,359,False,per_dataset
GPT,HOPE,U1,LM,0.2769304130533938,9.636411137362238e-08,6.022756960851398e-07,359,True,per_dataset
GPT,HOPE,U1,ME,0.05691525044728733,0.2821503973612826,0.34408585044058854,359,False,per_dataset
GPT,HOPE,U1,EMP,0.1646494475758244,0.0017470431120559888,0.005459509725174965,359,False,per_dataset
GPT,HOPE,U2,SEN,0.2184142006149912,2.9872814008526435e-05,0.00011489543849433245,359,True,per_dataset
GPT,HOPE,U2,AUR,0.05696675489584056,0.2817144135347078,0.34408585044058854,359,False,per_dataset
GPT,HOPE,U2,TD,0.07651761991007701,0.14793397183561036,0.21133424547944335,359,False,per_dataset
GPT,HOPE,U2,FIX,0.030468640255017224,0.5650082158064198,0.588550224798354,359,False,per_dataset
GPT,HOPE,U2,RT,0.06767923281984224,0.2007796167554152,0.2641837062571253,359,False,per_dataset
GPT,HOPE,U2,TN,0.04358419608771286,0.41032947985736645,0.46027283298038796,359,False,per_dataset
GPT,HOPE,U2,QOC,0.11984243063640837,0.023149323029850847,0.05261209779511556,359,False,per_dataset
GPT,HOPE,U2,LM,0.10047733980934645,0.05717767088126767,0.09529611813544611,359,False,per_dataset
GPT,HOPE,U2,ME,-0.09238216223467813,0.08045927259234313,0.12571761342553614,359,False,per_dataset
GPT,HOPE,U2,EMP,0.13197648520608538,0.012320347302702189,0.02993933387452453,359,False,per_dataset
GPT,HOPE,U3,SEN,0.75578231292517,1.2654093100973632e-67,6.327046550486816e-66,359,True,per_dataset
GPT,HOPE,U3,AUR,0.3687040843568738,5.297740631172012e-13,6.622175788965015e-12,359,True,per_dataset
GPT,HOPE,U3,TD,-0.05241526568073553,0.32200556132869235,0.374425071312433,359,False,per_dataset
GPT,HOPE,U3,FIX,0.27703866252654885,9.521847876605061e-08,6.022756960851398e-07,359,True,per_dataset
GPT,HOPE,U3,RT,0.27171409214429243,1.7043622544161614e-07,9.468679191200897e-07,359,True,per_dataset
GPT,HOPE,U3,TN,0.2823374005730456,5.2689850473199875e-08,4.390820872766656e-07,359,True,per_dataset
GPT,HOPE,U3,QOC,0.17309323352438102,0.0009908846664085783,0.0033029488880285942,359,False,per_dataset
GPT,HOPE,U3,LM,0.24896186481442778,1.7871594199828963e-06,8.93579709991448e-06,359,True,per_dataset
GPT,HOPE,U3,ME,-0.08560411620969041,0.10538627974357902,0.15967618142966516,359,False,per_dataset
GPT,HOPE,U3,EMP,0.3975503053899118,4.8265582374687146e-15,8.044263729114524e-14,359,True,per_dataset
GPT,HOPE,U4,SEN,-0.06649817354604576,0.20876879830430908,0.26765230551834496,359,False,per_dataset
GPT,HOPE,U4,AUR,-0.07363795348028156,0.1638421625407409,0.22755855908436237,359,False,per_dataset
GPT,HOPE,U4,TD,0.13159824995253025,0.012574520227300302,0.02993933387452453,359,False,per_dataset
GPT,HOPE,U4,FIX,-0.011036395828193966,0.8349268604201561,0.8519661841022,359,False,per_dataset
GPT,HOPE,U4,RT,0.004127374641456107,0.9378835861186288,0.9378835861186288,359,False,per_dataset
GPT,HOPE,U4,TN,-0.04322092298470106,0.41424554968234917,0.46027283298038796,359,False,per_dataset
GPT,HOPE,U4,QOC,-0.11188025903089462,0.0340826389789705,0.06455873558207849,359,False,per_dataset
GPT,HOPE,U4,LM,-0.11225883551407455,0.03347756073647064,0.06455873558207849,359,False,per_dataset
GPT,HOPE,U4,ME,-0.09478271999842658,0.07286855840472996,0.11752993291085477,359,False,per_dataset
GPT,HOPE,U4,EMP,-0.05532988165103042,0.2957935261502655,0.3521351501788875,359,False,per_dataset
GPT,HOPE,U5,SEN,0.319298176803768,5.957443193718075e-10,5.957443193718075e-09,359,True,per_dataset
GPT,HOPE,U5,AUR,0.06790089640447754,0.19930528878685777,0.2641837062571253,359,False,per_dataset
GPT,HOPE,U5,TD,0.10780093867409016,0.0412145389344684,0.07359739095440786,359,False,per_dataset
GPT,HOPE,U5,FIX,0.07922966346258763,0.1340530707569985,0.1971368687602919,359,False,per_dataset
GPT,HOPE,U5,RT,0.1561171975733918,0.0030180971630520926,0.008383603230700257,359,False,per_dataset
GPT,HOPE,U5,TN,0.11561573493346115,0.02850134817861623,0.05937780870545048,359,False,per_dataset
GPT,HOPE,U5,QOC,0.17508030728572527,0.000863800642843275,0.0030850022958688393,359,False,per_dataset
GPT,HOPE,U5,LM,0.11140115249254318,0.03486171721432238,0.06455873558207849,359,False,per_dataset
GPT,HOPE,U5,ME,-0.11893508761229152,0.024218576285996555,0.05264907888260121,359,False,per_dataset
GPT,HOPE,U5,EMP,0.23741626515210235,5.418462061273571e-06,2.2576925255306544e-05,359,True,per_dataset
GPT,CareBench,U1,SEN,0.11467156033132639,0.029603624155818714,0.12334843398257798,360,False,per_dataset
GPT,CareBench,U1,AUR,0.273094408570577,1.4097195369800633e-07,3.5242988424501583e-06,360,True,per_dataset
GPT,CareBench,U1,TD,0.027234162894046603,0.6065317979934166,0.7291345026249643,360,False,per_dataset
GPT,CareBench,U1,FIX,0.24572851132895995,2.3735497365546886e-06,2.9669371706933608e-05,360,True,per_dataset
